x,est
1,0.020948346123266532
2,0.023429340934072545
3,0.023475232242904657
4,0.018824151556894386
5,0.017117996804440202
6,0.019586181962571857
7,0.021126562565231585
8,0.016960547495138794
9,0.0168533986578454
10,0.02170782439897667
11,0.018914788863082874
12,0.02187897740104509
13,0.01813160577823775
14,0.013718411316896948
15,0.026180632103103996
16,0.019787647486315653
17,0.01815364749173012
18,0.01790652122497667
19,0.021495426971346487
20,0.02115764246822133
21,0.015841638839894458
22,0.016073793129127642
23,0.020469957217537523
24,0.02002750823199002
25,0.022240977458224946
26,0.01896264948602841
27,0.021347035925055068
28,0.01981137772587281
29,0.019573038247161677
30,0.027348458222321743
31,0.022177603886251104
32,0.021469183401989746
33,0.023179425672483368
34,0.023031072122508378
35,0.023351578150218374
36,0.016090348204884287
37,0.028127781779298967
38,0.021843154761789902
39,0.03276309557084902
40,0.01967576679568313
41,0.017730295193794487
42,0.018429892360162636
43,0.026135587634838475
44,0.02035904950279726
45,0.015777006614584994
46,0.023838433886035484
47,0.012843012846174737
48,0.01866390589364553
49,0.017800303956690636
50,0.019786147369152775
51,0.020443343575418136
52,0.017272040767208625
53,0.018188210612813317
54,0.026169551524519205
55,0.016993139482715088
56,0.023195359595837805
57,0.02193702980442219
58,0.018874027429282174
59,0.020322052663351756
60,0.012043401280155361
61,0.02202660625425134
62,0.01968154089735431
63,0.019282639569994268
64,0.01873953684085077
65,0.02049074390806276
66,0.02335328843296817
67,0.024154544896244117
68,0.017212503704031986
69,0.017373543154818503
70,0.025223913452160514
71,0.022227545318160888
72,0.02004015598189978
73,0.0214125328031978
74,0.015901094028125128
75,0.014637241358142589
76,0.014915102710086775
77,0.020361809172340307
78,0.01956218978169482
79,0.01729877542811586
80,0.01788817320786692
81,0.022933591218469388
82,0.022649010537787888
83,0.0179750828378024
84,0.018215115963646163
85,0.021952752046122497
86,0.016862501815052566
87,0.021677174971826307
88,0.021578319737930788
89,0.019710525699539096
90,0.01994900771035791
91,0.01918147799482723
92,0.018904569624539524
93,0.018634726853961264
94,0.018598190559632737
95,0.019710671443944887
96,0.01761971492332046
97,0.018874050067495544
98,0.024437652592927225
99,0.01796213475352516
100,0.018862931295336175
101,0.01728825636960973
102,0.016379200502938788
103,0.02371305395730142
104,0.014167495464891221
105,0.019930370670207496
106,0.024122553581636258
107,0.01707207220557634
108,0.02369360854508942
109,0.021263287565047716
110,0.018960512986584754
111,0.012425050436391957
112,0.016427611649425057
113,0.019385952257158907
114,0.021071958456983435
115,0.022452199520065396
116,0.013993379314992118
117,0.020288944161520883
118,0.020432108198658188
119,0.01858765644779442
120,0.020736431330229444
121,0.013216229827647688
122,0.02200542907553478
123,0.018940877528642968
124,0.020982072582138956
125,0.018469952058346267
126,0.02311658565399988
127,0.017625176461819384
128,0.015464569838775455
129,0.023821616046269298
130,0.026617055156578886
131,0.016925840468081387
132,0.021341475410436996
133,0.022707586344891187
134,0.02203198725460731
135,0.016543765618670044
136,0.017145522391013208
137,0.023018606676538194
138,0.01451526199629692
139,0.021895824290417934
140,0.019891561469097898
141,0.019867184439359458
142,0.01784623448420346
143,0.02346907720563003
144,0.01755947836995471
145,0.02600966510649171
146,0.024015119152289217
147,0.02292094130840007
148,0.018705221624670126
149,0.021674118137493904
150,0.019108321650477093
151,0.020940820577645344
152,0.021042391539202218
153,0.024665379968080305
154,0.02634655286915143
155,0.016399880874422998
156,0.02159701655186722
157,0.017743552156884848
158,0.012269053764397787
159,0.017709688365514124
160,0.02021718663679913
161,0.021987459280206633
162,0.020703173839762605
163,0.021369261393234827
164,0.016915692761195908
165,0.013735630828523412
166,0.011682664876146309
167,0.023444490170344442
168,0.020576310750195736
169,0.016326998738520865
170,0.018958821735322384
171,0.016606768617969784
172,0.024616063676707843
173,0.022107214610934848
174,0.023274854067315824
175,0.0163601894779563
176,0.020275032867406013
177,0.02186754258469722
178,0.016087131171684216
179,0.022669192356916792
180,0.020877447733182862
181,0.021528902531321177
182,0.022137666371475663
183,0.015920183747311932
184,0.021290856007505205
185,0.02163774221084777
186,0.020254204807771185
187,0.01895917815457757
188,0.017814320051354315
189,0.01623561620902965
190,0.019415884989975252
191,0.0214838812592201
192,0.02373156324197431
193,0.02036296709050673
194,0.01613980882828416
195,0.026886272769884045
196,0.01777187775746639
197,0.022266630278272605
198,0.02047881705041989
199,0.023780440410862774
200,0.020078313493553143
201,0.025111878071471326
202,0.01993770375983171
203,0.016664185750436433
204,0.021914508243052994
205,0.021543245209399146
206,0.02079908014334692
207,0.01698455634968192
208,0.025325255541927726
209,0.017425847916481253
210,0.023218657763756867
211,0.014074950092171886
212,0.023543756760227203
213,0.01776414140796018
214,0.02061064918721598
215,0.022342636354543068
216,0.02452100633993167
217,0.014199113440406244
218,0.016114587034815903
219,0.018329775702731123
220,0.01815931313463399
221,0.01823825212924878
222,0.02567078486255305
223,0.021193816854319647
224,0.017653294526900024
225,0.022886790891304295
226,0.021268885716492256
227,0.02855761289764922
228,0.018114057575698242
229,0.01799523942918183
230,0.021056413626349597
231,0.02096813281868045
232,0.02323096766298155
233,0.022761151383358463
234,0.020277834128830274
235,0.024926309669742224
236,0.025281076958032448
237,0.018696986928518743
238,0.012813333999257753
239,0.021583242566561595
240,0.01810976956156163
241,0.018979238021623292
242,0.0201912505249992
243,0.02176829590529829
244,0.018916668980036425
245,0.014627618682302078
246,0.020566909721441033
247,0.019930022049920545
248,0.014626578892288251
249,0.02449077511647775
250,0.017709970696053248
251,0.023334217425957253
252,0.018415279597676706
253,0.020987463995100347
254,0.012646956115452372
255,0.022486781644274773
256,0.018999947983312476
257,0.020347806356245505
258,0.018485386234980385
259,0.023124183307534733
260,0.015882268731049167
261,0.02208867082191691
262,0.014222317343417886
263,0.01770586164257012
264,0.02057419489511038
265,0.019782869669546104
266,0.018118461708157462
267,0.02104213305197809
268,0.017669354256404174
269,0.018547951566546872
270,0.01797914655028435
271,0.0185913416487628
272,0.01586311132767046
273,0.018495497385211786
274,0.02463276619073081
275,0.016989211724155025
276,0.01547184354939835
277,0.014386176654836184
278,0.015458371132885127
279,0.021317788336485642
280,0.018830304966429096
281,0.023735424260606475
282,0.018522943167119037
283,0.01608526220807192
284,0.019864945946438166
285,0.023659635777322285
286,0.01525445294207112
287,0.019970779450735686
288,0.017498528604163
289,0.01853610626641488
290,0.022059902163211166
291,0.02039124012313857
292,0.021804913742632385
293,0.02158297883524805
294,0.018640217813669376
295,0.021243951700220434
296,0.02234609450087217
297,0.020537627423867003
298,0.021393082194027822
299,0.01494233423925928
300,0.021994572180166747
301,0.024975605961870016
302,0.019720583226658307
303,0.020132321520721
304,0.01883575562371752
305,0.021932213800340914
306,0.019717814598362037
307,0.023211243914983047
308,0.020308691985548008
309,0.023823996807933692
310,0.024021485599253423
311,0.018216278983432494
312,0.013006473586527359
313,0.019035347745189325
314,0.024858118390669277
315,0.022122513920666973
316,0.018504962425905498
317,0.018848668823144333
318,0.019282586822181324
319,0.021322875054027846
320,0.021695002680442443
321,0.02324346751436668
322,0.01799616908941222
323,0.02148825381576833
324,0.021628020774710835
325,0.020771043556730324
326,0.017811426388857476
327,0.019595543177933203
328,0.022000181538179977
329,0.017917888265465476
330,0.02136412748909214
331,0.01789768725431127
332,0.018416197491517874
333,0.020829562581938084
334,0.020997641242140486
335,0.018116153619734014
336,0.023191675471202013
337,0.019253748334866386
338,0.02480544420553771
339,0.020846239284961026
340,0.023058851186947518
341,0.015245685970599922
342,0.01733005625811476
343,0.02018737326797314
344,0.021660165624995377
345,0.019271519798928338
346,0.02340213564259669
347,0.025162610589107643
348,0.018384859382574673
349,0.01593700384850504
350,0.01639679161116986
351,0.02104983394607801
352,0.015653685716180078
353,0.02111962810647
354,0.01784597283790841
355,0.02286766073766121
356,0.02770177573414696
357,0.011495443132474135
358,0.021883552811550896
359,0.015755737510569107
360,0.01882878887924371
361,0.02131462269784405
362,0.019042968369130185
363,0.016126370385219895
364,0.011362777088026651
365,0.019999017603650443
366,0.020558582036480966
367,0.02204404002601339
368,0.020513150033642874
369,0.022947823463992233
370,0.01480142968497821
371,0.020359971201452685
372,0.01852008062440973
373,0.019779873773688124
374,0.0161980730866642
375,0.020797942402573988
376,0.02033926531545641
377,0.017993135152231377
378,0.019034717673647887
379,0.02268879857257426
380,0.022858476746897297
381,0.01835274701582641
382,0.018332965457796266
383,0.023693977366241327
384,0.023464659260113367
385,0.022647094312786303
386,0.016570893409977434
387,0.013231285635455973
388,0.019679372080452125
389,0.01726743225040775
390,0.022901028325172525
391,0.018920088988977807
392,0.020527639425477032
393,0.022166692205298717
394,0.017380206650622152
395,0.017256804129952726
396,0.012583508017404396
397,0.02041996076469591
398,0.01117767945946625
399,0.01897011644114415
400,0.019672770856847724
401,0.025497484442051088
402,0.018816493217214927
403,0.023520180596913583
404,0.022274621065841337
405,0.01968507301293834
406,0.021834613901967836
407,0.020061881708363212
408,0.024942121070635547
409,0.018704180964946037
410,0.018021685435304073
411,0.016877994461116624
412,0.024230161369295494
413,0.012661685283203286
414,0.021674705115779895
415,0.016305014076459793
416,0.015311467981516197
417,0.015226991198088612
418,0.01895796940909703
419,0.020753210457863207
420,0.021770672029825796
421,0.027524517620695167
422,0.020771882343995296
423,0.020824751336480766
424,0.019481244154352595
425,0.023824962518957
426,0.020009287494449145
427,0.02213857508735674
428,0.019431996110499467
429,0.02400574327936251
430,0.019395934820244622
431,0.017649694028745895
432,0.023126897839745475
433,0.014664270989786525
434,0.022399411650399697
435,0.017964785572947624
436,0.015945551144676363
437,0.020524503577371973
438,0.017430119017800956
439,0.017626267385469067
440,0.021549745977456233
441,0.021666452938192162
442,0.017364890771247758
443,0.020798225420809516
444,0.0104060047068236
445,0.013876029414878352
446,0.018952040944152423
447,0.024710432028353792
448,0.019208054488934832
449,0.021262938369024573
450,0.018321214182302807
451,0.01764414496113542
452,0.0200261010969695
453,0.026801397062012015
454,0.022457458998595407
455,0.017699085849740046
456,0.022818004301536052
457,0.017514442704373
458,0.022399102680469525
459,0.018431579017938765
460,0.021823845897773426
461,0.019759698683902698
462,0.020696832830263478
463,0.02128509623536081
464,0.021827233776845898
465,0.014237202858425592
466,0.022708868466511645
467,0.015701190407503413
468,0.022348470290295495
469,0.022392168816264213
470,0.024347502363842134
471,0.01789251924817484
472,0.02103293092914754
473,0.018487419517237823
474,0.01766921572093632
475,0.020351889937827994
476,0.02500122910007203
477,0.019802762448053544
478,0.01600449315980486
479,0.015339559570561519
480,0.020729106427158837
481,0.010094990052941127
482,0.017099328203625714
483,0.015556863967505835
484,0.011949601126209033
485,0.022135914758426294
486,0.020349629445609
487,0.019718690654686913
488,0.01855826863570593
489,0.02084013753484115
490,0.02191744304849976
491,0.020756324022660755
492,0.021832847653398744
493,0.017000884973978038
494,0.018485644638246753
495,0.02070295116468706
496,0.021490629929735657
497,0.018976025155147257
498,0.021654637577979665
499,0.018601734029423615
500,0.019830295422437375
501,0.017936918623965074
502,0.008806700879772113
503,0.019732574514926448
504,0.02207095415743231
505,0.01839612478950122
506,0.01544323618439297
507,0.024861066065240505
508,0.021208717003008637
509,0.029579200099891848
510,0.016031680302175316
511,0.015213563694165778
512,0.02108810210632725
513,0.020437537405389443
514,0.021407246259741972
515,0.017682748450859705
516,0.01905026523336439
517,0.016583204346844523
518,0.018390737965723384
519,0.018554576583640178
520,0.015764902157865215
521,0.018788716682855602
522,0.01978323563790391
523,0.018490093354671437
524,0.01861513581439938
525,0.013995072204291862
526,0.025827017460608143
527,0.013978244857356647
528,0.020336697527686746
529,0.021231138877326403
530,0.01849905318696143
531,0.019821345837516782
532,0.01882573092029129
533,0.016651598619145586
534,0.014417262096764194
535,0.022036039521380037
536,0.02306329945158902
537,0.024918547182293874
538,0.012534257031189967
539,0.01638771768900376
540,0.024600046519832105
541,0.013124633345519577
542,0.023370052161772903
543,0.020998124851576632
544,0.01966726278211299
545,0.022797578303630134
546,0.019469501383058814
547,0.016607855993782592
548,0.016723550615414823
549,0.019953633092847273
550,0.018115258281537296
551,0.012855219541224042
552,0.024376129042431412
553,0.02085565264992011
554,0.01774953749439029
555,0.015071124705464681
556,0.014558900794517476
557,0.013213405258450722
558,0.01928289676032531
559,0.01890698030718473
560,0.021345161981858072
561,0.021148815486159326
562,0.020947600533449504
563,0.015078396517549917
564,0.022030024328483073
565,0.02293615709758953
566,0.018050019480467687
567,0.01959911657366932
568,0.01866653181602827
569,0.01573649987239095
570,0.02062653396498689
571,0.018776989302060336
572,0.017392597009906637
573,0.02079302779883178
574,0.017965536123168153
575,0.021804922571610288
576,0.02417568976840986
577,0.020535000007300415
578,0.01937625372245494
579,0.020720955682845824
580,0.020488763276346522
581,0.015568588251081282
582,0.02407271431422139
583,0.01798726566508274
584,0.021582970607107756
585,0.02260107213546814
586,0.021529785791389644
587,0.018551744034825592
588,0.018816532859767844
589,0.01846605863568919
590,0.02156325060755108
591,0.017174449867217712
592,0.02633293195212233
593,0.0230253143098061
594,0.01927604350563105
595,0.021990699715192245
596,0.01898470758235759
597,0.018589408518614223
598,0.01912745238102171
599,0.013566952942004247
600,0.016527702487473313
601,0.019038832913025563
602,0.022913044114060626
603,0.01746550063778386
604,0.021394478981825445
605,0.020084712479580005
606,0.024653112312659604
607,0.02090832471897809
608,0.024817513943292242
609,0.024146603085429742
610,0.019397750273424892
611,0.01909947505774441
612,0.017090443848690382
613,0.019862700580106564
614,0.018299349475749353
615,0.024462608270068346
616,0.02163044653686978
617,0.02436566235641765
618,0.017120438059276474
619,0.025276966891184957
620,0.013327589072230734
621,0.016407378587525175
622,0.02674169010127205
623,0.01922466936135202
624,0.02560506200247895
625,0.015526624826360323
626,0.018861923830087758
627,0.019829072985532808
628,0.016776792300253952
629,0.017515768266422167
630,0.016007271364729153
631,0.02194155399653811
632,0.021045646979610245
633,0.026918786621580534
634,0.01727556762534944
635,0.023936375099321484
636,0.019186430942779775
637,0.021179281436856764
638,0.018901924729945882
639,0.0219456440736811
640,0.02195133871404806
641,0.022921537043384198
642,0.01505176122218435
643,0.018743014410026973
644,0.02254032387563002
645,0.024576730205312834
646,0.018591294711366585
647,0.021928547141629378
648,0.017525225318817044
649,0.021773180020359103
650,0.015526853575068469
651,0.020496821637681864
652,0.016119614625387527
653,0.016709639396524267
654,0.02303506462008535
655,0.021446714172798226
656,0.021239326732061446
657,0.02481025579021042
658,0.015914302168957874
659,0.02025309090073908
660,0.024164697440768
661,0.02496747083973065
662,0.020928801835913637
663,0.017062138692180418
664,0.027206921916889695
665,0.019537428091390873
666,0.022991621959939784
667,0.012683800270856933
668,0.015202396194538111
669,0.021729011449408517
670,0.022266246564491516
671,0.021284115719516848
672,0.014048777327408704
673,0.026377072175564623
674,0.014789177730670481
675,0.016896545635347582
676,0.01900951942730148
677,0.016077156684792367
678,0.02453902447846351
679,0.018548500413699577
680,0.01867767604200122
681,0.023816209696864155
682,0.0217825498453827
683,0.014803012323685218
684,0.024297692840768794
685,0.015163374791224685
686,0.021310282552055016
687,0.018458708432639227
688,0.017300195964600383
689,0.016251631877343926
690,0.019836233415648222
691,0.022368789977649642
692,0.019322696270378366
693,0.020356909989664253
694,0.016193444732765433
695,0.01800258990277848
696,0.022210565793152573
697,0.01972100230529158
698,0.024285861625156828
699,0.02255884171950288
700,0.01646015561914381
701,0.020381700020854873
702,0.01948063959900901
703,0.01882024664913111
704,0.025060915975457596
705,0.017755474246336785
706,0.0260282759112636
707,0.02190704205302314
708,0.016373705597488786
709,0.02386013722827534
710,0.021256029322669647
711,0.017470094999192453
712,0.015053811122043518
713,0.01987963283707912
714,0.01781338559861986
715,0.020044057226192666
716,0.015657110646577092
717,0.027095677018036553
718,0.021942748374591887
719,0.01965139725802233
720,0.0195644556180405
721,0.022532623811965365
722,0.023473948773594953
723,0.022657753110927388
724,0.019990187841448192
725,0.02290474872717248
726,0.020638218379944593
727,0.024838640700280672
728,0.020526203739390816
729,0.0179730704693579
730,0.017244679820961006
731,0.020547507724857965
732,0.023786548990766397
733,0.021553150413139675
734,0.014890962871620584
735,0.017391402688097135
736,0.022345321802262
737,0.016283457103206264
738,0.019402628922113436
739,0.02390272327710506
740,0.019089225742406343
741,0.01762118991765272
742,0.021711756075514076
743,0.0179830474077365
744,0.022876990175827946
745,0.019289296533065207
746,0.022492281465446955
747,0.02538186227645348
748,0.02259952679833785
749,0.017176813032546527
750,0.016824143606265936
751,0.01804476283749793
752,0.022532964616487523
753,0.02129040804111222
754,0.014276097822858779
755,0.01911936522429993
756,0.01945765087928151
757,0.019062741576056783
758,0.02102949066523255
759,0.023620542965245524
760,0.02366661814219857
761,0.01699717297726639
762,0.021443397137388274
763,0.026536012061082463
764,0.018071491332188338
765,0.026569340797928973
766,0.023657364018399043
767,0.017974088885701605
768,0.018970938614898746
769,0.01559127330892976
770,0.018080666070131684
771,0.020374048445061344
772,0.01592284785670202
773,0.019143475732826383
774,0.02112116632277464
775,0.021412010656050036
776,0.023558833582201295
777,0.018446672201819485
778,0.016284768088628335
779,0.018601107762090327
780,0.021030277424941627
781,0.02481183987064882
782,0.01618187656357239
783,0.023490146894617245
784,0.0165639956535348
785,0.017324594732828873
786,0.019679221001847734
787,0.02568341158384212
788,0.02447413229998128
789,0.022411540156424523
790,0.02235032836597101
791,0.017227018183525275
792,0.017944810545562743
793,0.021995423677042283
794,0.023304766458756145
795,0.017862183961552095
796,0.024663367846638844
797,0.022104267813632564
798,0.015343412856196132
799,0.01930179930599494
800,0.022370180268092697
801,0.018731972430352607
802,0.02018281421110574
803,0.01918687243743443
804,0.021233116425727037
805,0.02304620897038867
806,0.02567513607705669
807,0.01744575040513534
808,0.021856656893504904
809,0.018217829732938912
810,0.019763436573915775
811,0.019201014353298358
812,0.01715348596906616
813,0.026328258997760787
814,0.02413626724356094
815,0.018317095005632247
816,0.024039285051888962
817,0.013695751703901114
818,0.01858175142391661
819,0.022744701841691323
820,0.02036006129644384
821,0.01787318183142692
822,0.019339390022467384
823,0.01978199852315125
824,0.018824582957983418
825,0.019069320529987912
826,0.025941729949399722
827,0.01736099380824005
828,0.020905312004443358
829,0.01830519850317594
830,0.022346126142597858
831,0.014823251031410844
832,0.020818758089579906
833,0.016905064113779684
834,0.01972534256792571
835,0.023593110007768935
836,0.01929839542068244
837,0.021151961345692086
838,0.01591167880153844
839,0.02119722591159841
840,0.01838908747548565
841,0.022205334028916692
842,0.017657368631071278
843,0.01886786645455438
844,0.019108063339441105
845,0.017726458085040083
846,0.019401342518389625
847,0.01841541026255472
848,0.020287003480091385
849,0.019094687365168152
850,0.019922130528191972
851,0.015890504812502763
852,0.013131556471421706
853,0.018189707804851123
854,0.01919855129330839
855,0.0260587100842281
856,0.01927216852278898
857,0.015123671669799377
858,0.02092080742101002
859,0.021254328653231413
860,0.024859387208175123
861,0.0168016487940105
862,0.020563978733370007
863,0.021093478675949438
864,0.021308089408523828
865,0.022984097078430264
866,0.015977286402533288
867,0.023225829051534412
868,0.01745295452654037
869,0.016325956716209455
870,0.020925006312486432
871,0.021452624837498397
872,0.018870982340729016
873,0.02105549189745236
874,0.020420983651399154
875,0.010662028823831805
876,0.017685711890723745
877,0.02073129367240203
878,0.018277727980466684
879,0.019247173261570473
880,0.015779446557413344
881,0.01604074926938414
882,0.024130675832538535
883,0.018126722754928118
884,0.023628032044312217
885,0.019272454454152068
886,0.016387046628076708
887,0.01862616876698865
888,0.022577823801133358
889,0.021624031819750582
890,0.02146992881115262
891,0.02231677990324984
892,0.019075752847537823
893,0.014489991882807956
894,0.017606926614173662
895,0.018838069830715558
896,0.025235343848183954
897,0.01959140513538339
898,0.0197507714254615
899,0.02567167135573865
900,0.019956472765902542
901,0.017293717302773366
902,0.021636887626966115
903,0.02111891555940626
904,0.016509664837565354
905,0.017942726809505285
906,0.018670599035288477
907,0.019928969547916616
908,0.023547378541902832
909,0.015909482269852324
910,0.02259806110127209
911,0.012730445715350269
912,0.01957616341947772
913,0.019594208809470662
914,0.019920556262323738
915,0.02468251434374468
916,0.02365826381882003
917,0.014608585997574806
918,0.017105909365337804
919,0.015226086247855056
920,0.02208206050696946
921,0.01726993050187819
922,0.024652937692581707
923,0.017633527449277223
924,0.021946014942534155
925,0.02552970508058597
926,0.022423801945091974
927,0.021263495273207658
928,0.02207871056296273
929,0.01703771830543553
930,0.02121361228267949
931,0.0189936162596762
932,0.018036091706653015
933,0.020918996921131923
934,0.016929877196495982
935,0.024662718925439694
936,0.026789258019112222
937,0.017856807983008503
938,0.018295144528058624
939,0.020195040506310998
940,0.014949571663684463
941,0.016288249903567403
942,0.02137061278863657
943,0.016858981729027316
944,0.01926086449180437
945,0.022810214058505918
946,0.023912355282146986
947,0.018800400079071574
948,0.021068214318804204
949,0.022167737754913795
950,0.021502114735787486
951,0.017228281882120017
952,0.014618888031836945
953,0.015002780575195761
954,0.020016354647722976
955,0.016242223422318732
956,0.02236351785219589
957,0.018253968338740444
958,0.02512856454459917
959,0.01796146374971034
960,0.02002888578055959
961,0.020570749798649028
962,0.01977255614289409
963,0.018141070736300433
964,0.017846134662042587
965,0.017581393946302232
966,0.018722331059296934
967,0.01954108485543576
968,0.02026165832802677
969,0.022775445362668373
970,0.023491213623193667
971,0.021186182816095828
972,0.024034253704194274
973,0.023050594107146744
974,0.0192773886970729
975,0.019381951058894707
976,0.016566593068636254
977,0.018528374840034546
978,0.01819599623987973
979,0.02673567631124809
980,0.02048831813856649
981,0.019711090805106045
982,0.02017851378637799
983,0.019585640321974514
984,0.0185048365546406
985,0.02046090848478933
986,0.019421564718064575
987,0.022505911132810974
988,0.020394924649258187
989,0.020152104973384266
990,0.023739195656310615
991,0.022364783271034548
992,0.018103377906391507
993,0.016355450867291232
994,0.02207499638134599
995,0.020941180601125677
996,0.01793056495064035
997,0.01568821061393371
998,0.01826770305467792
999,0.022642297355160605
1000,0.020463159237386536
