iter,est
1,0.017078254274208574
2,0.01378884351617238
3,0.017306455561611277
4,0.014373216723494193
5,0.016075822032704634
6,0.020629967860554706
7,0.016159598726435888
8,0.018890332664138188
9,0.013876906487081413
10,0.019526618464752902
11,0.011476195197203335
12,0.013950676988587367
13,0.0150753009163798
14,0.0092540648878054535
15,0.014741277532409376
16,0.016659824118237052
17,0.01718028802172965
18,0.012355743843523238
19,0.014211629153348102
20,0.011052150495965012
21,0.014457510205600687
22,0.013323438038334854
23,0.013973919428970055
24,0.018927219066155306
25,0.013959707541675541
26,0.016442752014046762
27,0.012620211768591554
28,0.014226556179402607
29,0.016295442070856796
30,0.018293993684103622
31,0.0146864290528729
32,0.013889070586233555
33,0.015481857122189684
34,0.01489523799724393
35,0.015780495319799023
36,0.011705165183898934
37,0.01601591512054035
38,0.010077857522948945
39,0.01633376633778195
40,0.018133445839773353
41,0.012575378545858273
42,0.014508612287925307
43,0.01514157809176054
44,0.017607885384212266
45,0.017637371953018448
46,0.016698772645659957
47,0.008684186208795349
48,0.01492079175053602
49,0.01922497841397577
50,0.014194883711442091
51,0.017110251949061607
52,0.011943808078710146
53,0.014061222175267056
54,0.014035118668254644
55,0.01205520465660983
56,0.014036320247216566
57,0.016947069723719007
58,0.012766946959636597
59,0.011037067930159062
60,0.008245141459515845
61,0.014509598053743532
62,0.01919469407267412
63,0.013353777069244139
64,0.014085156582475788
65,0.013295971900283752
66,0.01801705724931006
67,0.010813758874755483
68,0.011487126994133666
69,0.01180362439966704
70,0.017782612474175476
71,0.017071335796114483
72,0.012912551366593103
73,0.014254444115440208
74,0.010743454180393915
75,0.014602956484586536
76,0.007992754701103099
77,0.014144801929918767
78,0.01489208842866145
79,0.01825591502598322
80,0.015017562849816748
81,0.012219249363501652
82,0.01721923005165602
83,0.017357410850424682
84,0.012708790414792573
85,0.01581945715789932
86,0.01220581767912645
87,0.017446085282397283
88,0.010488921818855083
89,0.01676504603534983
90,0.013755959681448179
91,0.012330539474715189
92,0.012757695941409082
93,0.014688481606246676
94,0.01179278503520035
95,0.014994186754378887
96,0.016963448454684917
97,0.015181579138848857
98,0.01437666175970059
99,0.01318053803350153
100,0.01721738207394187
101,0.01524370292629487
102,0.015213251714426692
103,0.015272741503214482
104,0.014450027427995307
105,0.01197027760042875
106,0.012132132526565972
107,0.013558663689407308
108,0.017794143316948192
109,0.0191509977806549
110,0.018354848332883287
111,0.012622475775653544
112,0.012772095081051876
113,0.012523416292597048
114,0.014413648089052261
115,0.015152340898152013
116,0.009782179942426788
117,0.02003751131172034
118,0.014311711445684593
119,0.01435409295253637
120,0.012546794891642484
121,0.013761789439264201
122,0.014765795565986803
123,0.013941976719733429
124,0.015476409586494051
125,0.017153705958172515
126,0.009386154603593757
127,0.015027506873381715
128,0.017592438872593538
129,0.0170183725883864
130,0.015967447816378648
131,0.01414343633571139
132,0.017169106674713892
133,0.009516962166515769
134,0.00951498325335206
135,0.008852202097095632
136,0.014706083105173276
137,0.017000248215109665
138,0.01326852822294233
139,0.010648455049362742
140,0.019078691578971962
141,0.01769142064461872
142,0.01355993444273571
