fips,year,month,total_deaths,sex_1,sex_2
11010,2014,7,6,4,2
11010,2014,8,4,2,2
11010,2014,9,2,2,0
11010,2014,11,2,1,1
11010,2014,12,3,1,2
11010,2015,1,2,0,2
11010,2015,2,2,2,0
11010,2015,3,3,2,1
11010,2015,5,2,1,1
11010,2015,6,1,1,0
11010,2015,7,2,1,1
11010,2015,8,7,3,4
11010,2015,9,5,4,1
11010,2015,10,6,5,1
11010,2015,11,3,2,1
11010,2015,12,2,0,2
11010,2016,1,5,4,1
11010,2016,2,3,3,0
11010,2016,3,3,2,1
11010,2016,4,5,4,1
11010,2016,5,3,2,1
11010,2016,6,1,1,0
11010,2016,7,2,1,1
11010,2016,8,1,1,0
11010,2016,9,2,2,0
11010,2016,10,1,1,0
11010,2016,11,3,3,0
11010,2016,12,2,2,0
11010,2017,1,3,1,2
11010,2017,2,2,2,0
11010,2017,3,9,6,3
11010,2017,4,6,4,2
11010,2017,5,6,5,1
11010,2017,6,3,3,0
11010,2017,7,2,2,0
11010,2017,8,5,4,1
11010,2017,9,2,2,0
11010,2017,10,5,2,3
11010,2017,12,2,2,0
11010,2018,1,8,6,2
11010,2018,2,2,2,0
11010,2018,3,4,4,0
11010,2018,4,1,0,1
11010,2018,5,2,1,1
11010,2018,6,1,0,1
11010,2018,8,2,2,0
11010,2018,9,4,3,1
11010,2018,10,1,1,0
11010,2018,11,3,1,2
11010,2018,12,2,2,0
11010,2019,1,2,1,1
11010,2019,2,1,1,0
11010,2019,3,3,2,1
11010,2019,4,3,3,0
11010,2019,5,1,1,0
11010,2019,6,1,1,0
11010,2019,7,1,1,0
11010,2019,8,9,8,1
11010,2019,9,4,3,1
11010,2019,10,4,3,1
11010,2019,11,3,2,1
11010,2019,12,7,4,3
11010,2020,1,1,1,0
11010,2020,2,1,1,0
11010,2020,3,1,1,0
11010,2020,4,4,4,0
11010,2020,5,3,2,1
11010,2020,6,2,1,1
11010,2020,7,4,2,2
11010,2020,8,3,2,1
11010,2020,9,1,0,1
11010,2020,10,3,1,2
11010,2020,11,1,1,0
11010,2020,12,2,2,0
11010,2021,1,2,1,1
11010,2021,2,3,2,1
