age_code,age_label,age_mid,age5_c,est,var,se,lower,upper,baseline_rate,pct_change,pct_lower,pct_upper
3,5-9,7,-8,-9.922384496611966e-4,1.1015664460438174e-5,0.0033189854564969357,-0.00749744994439519,0.005512973045072797,0.005683628301176073,-17.45783497938948,-131.91309401502903,96.99742405625005
4,10-14,12,-7,0.0018786224466202477,1.084444731795519e-5,0.0032930908456881643,-0.004575835610928555,0.00833308050416905,0.1432062532497787,1.3118298984776704,-3.1952763982641423,5.818936195219483
5,15-19,17,-6,0.004749483342901692,1.0702613339070532e-5,0.0032714848829041732,-0.001662627027590488,0.011161593713393873,0.7170901416650614,0.6623272399022997,-0.2318574654686953,1.556511945273295
6,20-24,22,-5,0.007620344239183133,1.0590162523784205e-5,0.0032542529901321755,0.001242008378524069,0.013998680099842196,1.3170824106904109,0.5785776332088871,0.094299974583444,1.06285529183433
7,25-29,27,-4,0.010491205135464577,1.050709487209621e-5,0.0032414649268650447,0.00413793387880909,0.016844476392120063,1.7736586972891235,0.5915007860023709,0.23329933121482427,0.9497022407899174
8,30-34,32,-3,0.013362066031746021,1.0453410384006543e-5,0.0032331734231257287,0.007025046122419594,0.019699085941072447,1.9535821854822033,0.6839776760376148,0.359598187095753,1.0083571649794767
9,35-39,37,-2,0.016232926928027462,1.0429109059515206e-5,0.00322941311378944,0.00990327722500016,0.022562576631054765,2.1397219310499374,0.758646564886221,0.462830103355567,1.0544630264168748
10,40-44,42,-1,0.019103787824308906,1.04341908986222e-5,0.003230199823327065,0.01277259617058786,0.025434979478029952,2.334246652267576,0.8184134185541514,0.5471827991347904,1.0896440379735126
11,45-49,47,0,0.02197464872059035,1.0468655901327524e-5,0.003235530234958024,0.015633009460072622,0.02831628798110808,2.607031887722278,0.8428991154300476,0.5996478038376022,1.0861504270224929
12,50-54,52,1,0.024845509616871795,1.0532504067631177e-5,0.003245381960206098,0.018484560974867843,0.031206458258875747,2.805594929558671,0.8855700926427063,0.6588463922614631,1.1122937930239494
13,55-59,57,2,0.02771637051315324,1.0625735397533162e-5,0.0032597140054816407,0.02132733106240922,0.03410540996389726,2.903670731607886,0.9545287009111225,0.7344955070232558,1.1745618947989893
14,60-64,62,3,0.03058723140943468,1.0748349891033475e-5,0.0032784676132354084,0.02416143488749328,0.03701302793137608,3.0609840117207665,0.9992613908571096,0.7893355468364782,1.2091872348777408
15,65-69,67,4,0.03345809230571613,1.0900347548132118e-5,0.003301567438071214,0.02698702012709655,0.03992916448433571,3.469467488604404,0.9643581447472988,0.7778432919673244,1.1508729975272731
16,70-74,72,5,0.03632895320199757,1.1081728368829093e-5,0.003328923004340757,0.029804264113489687,0.04285364229050545,4.4711103251110105,0.8125264321473789,0.66659648155181,0.958456382742948
17,75-79,77,6,0.03919981409827901,1.1292492353124396e-5,0.0033604303821273243,0.032613370549309455,0.045786257647248564,5.646493850835661,0.6942328307411081,0.5775862227226687,0.8108794387595474
18,80-84,82,7,0.04207067499456045,1.153263950101803e-5,0.0033959740135958093,0.035414565927912665,0.048726784061208235,6.856620243717642,0.6135774404759777,0.516501784685555,0.7106530962664005
19,85+,87,8,0.0449415358908419,1.1802169812509994e-5,0.0034354286213673533,0.03820809579296189,0.05167497598872191,5.677728886066101,0.7915407162383956,0.6729468165824124,0.910134615894379
