sex_label,baseline_rate,effect_per_1C,pct_per_1C
Female,0.6316065673514363,"0.0072 (0.0035, 0.0109)","1.14% (0.55, 1.73)"
Male,1.3844429603997195,"0.0112 (0.0075, 0.0150)","0.81% (0.54, 1.08)"
