sex_label,est,se,lower,upper
Female,0.0072091842816071425,0.0018962235780993516,0.0034925860685324135,0.010925782494681872
Male,0.011219371832273572,0.0019227133299664788,0.007450853705539273,0.01498788995900787
Male - Female,0.00401018755066643,6.328753754223176e-4,0.002769751814838688,0.005250623286494172
