model,estimate,se,t_value,p_value
mod1_stateyear_w,3.4186272345210266e-4,5.8305612933084345e-5,5.86329010629643,1.4537941689762047e-8
mod2_stateyear_noweight,3.9745020776140377e-4,9.48766522369867e-5,4.18912554764935,3.905276320186896e-5
mod3_year_w,3.317643890633975e-4,5.825312816016395e-5,5.695220145967587,3.502423546908854e-8
mod4_year_trend_w,3.294685749911571e-4,5.781251659708052e-5,5.698914255668209,3.4360565745667174e-8
mod5_yearmonth_w,6.390625752437786e-5,1.0390344122907229e-4,0.6150542924125676,0.5390873888085154
